Depth	Signal	EC.Value	HP.PresDown	color
0.25	0.832	10.55	2.5	#6B8E23
0.5	1.078	9.5	2.56	#6B8E23
0.75	2.157	10.61	2.69	#6B8E23
1	0.317	10.21	2.65	#B0B0B0
1.25	0.088	9.32	2.9	#B0B0B0
1.5	0.13	10.05	2.54	#B0B0B0
1.75	0.048	10.57	3.14	#B0B0B0
2	0.027	9.7	2.65	#B0B0B0
2.25	0.19	9.95	2.76	#B0B0B0
2.5	0.119	9.87	2.91	#B0B0B0
2.75	0.073	9.79	2.81	#B0B0B0
3	0.007	9.46	3.09	#B0B0B0
3.25	0.14	10.29	2.99	#B0B0B0
3.5	0.129	10.44	3.02	#B0B0B0
3.75	0.282	9.88	2.99	#B0B0B0
4	0.357	9.47	2.92	#B0B0B0
4.25	0.221	9.66	2.69	#B0B0B0
4.5	0.123	10.35	3.37	#B0B0B0
4.75	0.147	11.1	3.07	#B0B0B0
5	0.009	9.47	3.09	#B0B0B0
5.25	0.035	9.85	3.1	#B0B0B0
5.5	0.451	8.72	2.87	#B0B0B0
5.75	0.016	9.12	2.75	#B0B0B0
6	0.242	8.68	2.52	#B0B0B0
6.25	0.227	7.17	2.08	#B0B0B0
6.5	0.258	6.35	1.93	#B0B0B0
6.75	0.293	6.95	2.04	#B0B0B0
7	0.154	5.87	1.58	#B0B0B0
7.25	0.093	5.55	1.63	#B0B0B0
7.5	0.307	5.72	1.86	#B0B0B0
7.75	0.161	5.26	2.1	#B0B0B0
8	0.059	6.58	2.79	#B0B0B0
8.25	0.262	6.73	2.84	#B0B0B0
8.5	0.218	7.38	3.51	#B0B0B0
8.75	0.225	7.68	3.67	#B0B0B0
9	0.16	7.57	3.78	#B0B0B0
9.25	0.255	8.45	4.05	#B0B0B0
9.5	0.2	8.94	4.06	#B0B0B0
9.75	0.252	8.81	4.24	#B0B0B0
10	0.172	8.07	4.05	#B0B0B0
10.25	0.294	7.72	4.22	#B0B0B0
10.5	0.47	7.89	4.32	#B0B0B0
10.75	0.431	8.32	4.23	#B0B0B0
11	0.298	8.32	4.46	#B0B0B0
11.25	0.514	8.28	4.29	#6B8E23
11.5	0.712	7.02	4.23	#6B8E23
11.75	0.417	8.15	4.58	#B0B0B0
12	0.488	8.06	4.47	#B0B0B0
12.25	0.582	7.24	4.32	#6B8E23
12.5	0.416	6.57	4.02	#B0B0B0
12.75	0.78	6.68	3.88	#6B8E23
13	0.879	6.12	3.64	#6B8E23
13.25	0.765	5.58	3.77	#6B8E23
13.5	0.661	5.61	3.46	#6B8E23
13.75	0.68	5.94	3.66	#6B8E23
14	0.584	6.44	3.84	#6B8E23
14.25	0.835	6.33	4.24	#6B8E23
14.5	0.998	8.16	4.69	#6B8E23
14.75	0.653	7.82	5.28	#6B8E23
15	0.689	8.98	5.45	#6B8E23
15.25	0.763	8.22	5.77	#6B8E23
15.5	0.443	10.57	6.23	#B0B0B0
15.75	0.998	11.34	6.1	#6B8E23
16	0.775	9.81	5.95	#6B8E23
16.25	0.547	9.72	6.38	#6B8E23
16.5	0.959	10.48	6.96	#6B8E23
16.75	0.504	10.31	6.9	#6B8E23
17	0.524	9.75	7.19	#6B8E23
17.25	0.696	9.97	7.15	#6B8E23
17.5	0.359	10.74	7.25	#B0B0B0
17.75	0.381	9.87	7.59	#B0B0B0
18	0.25	9.75	7.71	#B0B0B0
18.25	0.296	9.17	7.45	#B0B0B0
18.5	0.36	9.88	7.26	#B0B0B0
18.75	0.216	8.6	7.67	#B0B0B0
19	0.441	7.75	7.41	#B0B0B0
19.25	0.316	7.89	7.33	#B0B0B0
19.5	0.242	6.52	7.22	#B0B0B0
19.75	0.153	6.3	6.97	#B0B0B0
20	0.136	6.48	6.79	#B0B0B0
20.25	0.178	5.73	7.24	#B0B0B0
20.5	0.163	5.52	7.81	#B0B0B0
20.75	0.149	6.81	8.2	#B0B0B0
21	0.093	7.59	8.33	#B0B0B0
21.25	0.092	8.1	9.04	#B0B0B0
21.5	0.335	7.68	9.22	#B0B0B0
21.75	0.052	8.22	9.76	#B0B0B0
22	0.113	8.01	9.85	#B0B0B0
22.25	0.024	8.11	9.93	#B0B0B0
22.5	0.109	8.52	10.51	#B0B0B0
22.75	0.05	8.51	10.31	#B0B0B0
23	0.393	8.17	10.31	#B0B0B0
23.25	0.261	7.83	10.48	#B0B0B0
23.5	0.04	7.69	10.66	#B0B0B0
23.75	0.093	7.46	10.96	#B0B0B0
24	0.009	8.51	11.16	#B0B0B0
24.25	0.01	8.45	10.9	#B0B0B0
24.5	0.081	8.39	11.54	#B0B0B0
24.75	0.122	7.71	11.11	#B0B0B0
25	0.019	7.27	11.08	#B0B0B0
25.25	0.002	8.09	11.04	#B0B0B0
25.5	0.05	8.09	11.4	#B0B0B0
25.75	0.18	8.04	11.71	#B0B0B0
26	0.067	8.22	11.62	#B0B0B0
26.25	0.004	8.12	11.86	#B0B0B0
26.5	0.124	8.24	11.89	#B0B0B0
26.75	0.03	9.18	11.54	#B0B0B0
27	0.115	8.18	11.86	#B0B0B0
27.25	0.005	8.33	12.03	#B0B0B0
27.5	0.041	8.35	11.92	#B0B0B0
27.75	0.131	9.29	12.56	#B0B0B0
28	0.143	9.48	12.36	#B0B0B0
28.25	0.064	9.44	12	#B0B0B0
28.5	0.125	9.52	12.28	#B0B0B0
28.75	0.199	9.3	12.43	#B0B0B0
29	0.159	10.02	12.32	#B0B0B0
29.25	0.125	9.32	12.46	#B0B0B0
29.5	0.083	9.73	12.55	#B0B0B0
29.75	0.152	10.36	12.39	#B0B0B0
30	0.177	9.66	12.43	#B0B0B0
30.25	0.099	9.39	12.52	#B0B0B0
30.5	0.085	10.2	12.63	#B0B0B0
30.75	0.154	10.05	12.9	#B0B0B0
31	0.144	9.77	12.92	#B0B0B0
31.25	0.214	10.18	12.94	#B0B0B0
31.5	0.238	9.9	12.73	#B0B0B0
31.75	0.218	10.32	13.12	#B0B0B0
32	0.026	10.45	13.04	#B0B0B0
32.25	0.217	10.61	13.42	#B0B0B0
32.5	0.184	10.26	13.16	#B0B0B0
32.75	0.011	9.93	13.42	#B0B0B0
33	0.008	10.16	13.57	#B0B0B0
33.25	0.039	9.72	13.99	#B0B0B0
33.5	0.121	9.53	13.76	#B0B0B0
33.75	0.034	9.88	13.83	#B0B0B0
34	0.339	9	14.12	#B0B0B0
34.25	0.116	10.31	14.12	#B0B0B0
34.5	0.223	9.68	14.29	#B0B0B0
34.75	0.074	8.74	14.41	#B0B0B0
35	0.168	9.78	14.45	#B0B0B0
35.25	0.135	8.95	14.97	#B0B0B0
35.5	0.221	8.84	14.58	#B0B0B0
35.75	0.012	7.3	14.87	#B0B0B0
36	0.199	8.67	15.28	#B0B0B0
